epoch,performance,loss,consensus,is_warmup,stage,exact_match
0.0,49.1,12.9761,0.756,True,0,
,,,,,0,49.07
1.0,48.6,9.3682,0.691,True,0,
2.0,51.1,7.6172,0.566,True,0,
3.0,51.9,8.3506,0.563,,0,
4.0,52.0,6.1474,0.683,,0,
5.0,51.0,7.0296,0.716,,0,
6.0,49.4,5.4795,0.718,,0,
,,,,,0,49.44
7.0,53.2,4.2714,0.685,,0,
8.0,55.3,4.3941,0.587,,0,
9.0,54.4,6.2233,0.636,,0,
10.0,54.6,1.0228,0.543,,0,
11.0,56.0,3.2303,0.569,,0,
12.0,55.6,0.8046,0.573,,0,
,,,,,0,55.65
13.0,53.8,1.4378,0.682,,0,
14.0,55.6,2.5083,0.654,,0,
15.0,57.7,1.252,0.617,,0,
16.0,56.7,-0.3753,0.56,,0,
17.0,57.5,3.4521,0.57,,0,
18.0,57.3,1.5292,0.571,,0,
,,,,,0,57.31
19.0,57.5,1.6449,0.625,,0,
20.0,56.4,-0.6952,0.604,,0,
21.0,57.2,0.11,0.475,,0,
22.0,57.6,-0.8336,0.532,,0,
23.0,56.4,0.1745,0.565,,0,
24.0,57.4,-0.4831,0.583,,0,
,,,,,0,57.41
25.0,58.7,0.3937,0.587,,0,
26.0,56.9,2.1949,0.542,,0,
27.0,58.7,1.2948,0.545,,0,
28.0,57.6,-1.5494,0.541,,0,
29.0,56.1,-0.9833,0.594,,0,
30.0,57.7,-2.8294,0.598,,0,
,,,,,0,57.69
31.0,58.7,-0.7836,0.614,,0,
32.0,58.6,-2.0568,0.588,,0,
33.0,59.0,1.4878,0.451,,0,
34.0,59.0,-2.6204,0.52,,0,
35.0,58.5,-4.1884,0.578,,0,
36.0,58.6,-3.927,0.548,,0,
,,,,,0,58.61
37.0,59.6,-1.9848,0.569,,0,
38.0,59.2,-1.9032,0.655,,0,
39.0,58.5,-2.9649,0.488,,0,
40.0,59.3,-1.6089,0.561,,0,
41.0,59.5,-0.9893,0.54,,0,
42.0,59.8,-0.7596,0.534,,0,
,,,,,0,59.81
43.0,59.9,-0.3582,0.541,,0,
44.0,58.9,-2.9555,0.496,,0,
45.0,59.7,-4.1107,0.538,,0,
46.0,59.6,-3.0068,0.471,,0,
47.0,59.3,-4.0842,0.544,,0,
,,,,,0,59.26
0.0,31.5,2.4418,1.0,True,1,
,,,,,1,31.49
1.0,32.6,-0.4215,1.0,True,1,
2.0,34.6,-1.5756,1.0,,1,
3.0,35.0,1.5049,1.0,,1,
4.0,35.0,1.1056,1.0,,1,
5.0,35.8,0.1804,1.0,,1,
6.0,35.7,0.3999,1.0,,1,
,,,,,1,35.67
7.0,35.8,0.2972,1.0,,1,
8.0,35.8,0.575,1.0,,1,
9.0,36.1,-2.5236,1.0,,1,
10.0,36.2,-0.8704,1.0,,1,
11.0,36.7,-0.8114,1.0,,1,
12.0,37.0,-0.0253,1.0,,1,
,,,,,1,36.96
13.0,37.0,0.21,1.0,,1,
14.0,37.4,-0.3963,1.0,,1,
15.0,37.7,-2.738,1.0,,1,
16.0,37.4,0.5088,1.0,,1,
17.0,36.8,-3.1047,1.0,,1,
18.0,38.1,-3.5223,1.0,,1,
,,,,,1,38.13
19.0,37.8,0.1881,1.0,,1,
20.0,38.1,-2.6495,1.0,,1,
21.0,38.2,-0.1856,1.0,,1,
22.0,38.5,2.7585,1.0,,1,
23.0,39.1,2.4277,1.0,,1,
24.0,38.2,-1.2528,1.0,,1,
,,,,,1,38.24
25.0,38.1,-0.1106,1.0,,1,
