epoch,performance,loss,consensus,is_warmup,stage,exact_match
26.0,39.0,-0.414,1.0,,1,
27.0,39.0,-3.1141,1.0,,1,
28.0,39.4,-0.2332,1.0,,1,
29.0,39.6,-2.2652,1.0,,1,
30.0,39.2,-0.907,1.0,,1,
,,,,,1,39.19
31.0,39.5,-0.1431,1.0,,1,
32.0,39.1,-3.8391,1.0,,1,
33.0,39.6,-5.0379,1.0,,1,
34.0,40.4,-1.3985,1.0,,1,
35.0,39.9,-4.1263,1.0,,1,
,,,,,1,39.86
0.0,33.0,0.963,1.0,True,2,
,,,,,2,32.97
1.0,35.3,-2.3512,1.0,True,2,
2.0,34.7,-2.1379,1.0,,2,
3.0,36.0,-1.4852,1.0,,2,
4.0,37.2,3.291,1.0,,2,
5.0,38.1,-5.1298,1.0,,2,
6.0,38.0,4.1869,0.999,,2,
,,,,,2,38.02
7.0,37.7,-5.2092,1.0,,2,
8.0,38.4,0.6883,1.0,,2,
9.0,38.5,-7.9428,1.0,,2,
10.0,38.2,3.0348,1.0,,2,
11.0,39.5,0.2474,1.0,,2,
12.0,39.3,-5.3836,1.0,,2,
,,,,,2,39.34
13.0,39.0,-5.0437,1.0,,2,
14.0,38.3,-5.1581,1.0,,2,
15.0,39.4,-4.8377,1.0,,2,
16.0,40.2,-4.5852,1.0,,2,
17.0,40.4,-5.3078,1.0,,2,
18.0,40.1,-2.4788,1.0,,2,
,,,,,2,40.13
19.0,40.3,-7.9839,1.0,,2,
20.0,40.4,0.1907,1.0,,2,
21.0,40.8,-10.2005,1.0,,2,
22.0,41.0,-7.9369,1.0,,2,
23.0,40.9,-9.7237,1.0,,2,
24.0,40.9,-0.1487,1.0,,2,
,,,,,2,40.92
25.0,41.2,-0.1345,1.0,,2,
26.0,41.4,-2.6826,1.0,,2,
27.0,41.3,-1.8281,1.0,,2,
28.0,41.8,-7.3791,1.0,,2,
29.0,41.3,-7.7862,1.0,,2,
30.0,40.7,0.81,0.997,,2,
,,,,,2,40.66
31.0,41.3,-5.0927,1.0,,2,
32.0,41.7,-4.3923,1.0,,2,
33.0,40.7,0.4257,1.0,,2,
34.0,41.5,-4.727,1.0,,2,
35.0,41.7,-4.7665,1.0,,2,
,,,,,2,41.72
0.0,37.4,-2.7762,0.719,True,3,
,,,,,3,37.39
1.0,38.0,-2.2516,0.069,,3,
2.0,38.3,-1.2178,0.374,,3,
3.0,39.1,-1.9702,0.33,,3,
4.0,41.0,-6.1255,0.099,,3,
5.0,41.5,2.1214,0.003,,3,
6.0,43.3,-1.2062,0.001,,3,
,,,,,3,43.3
7.0,44.5,-4.7659,0.001,,3,
8.0,44.8,-5.8978,0.007,,3,
9.0,45.5,-2.2242,0.127,,3,
10.0,46.0,-2.3273,0.304,,3,
11.0,45.5,-0.9387,0.419,,3,
12.0,46.2,2.0536,0.622,,3,
,,,,,3,46.22
13.0,46.1,-2.5883,0.929,,3,
14.0,47.1,-6.1906,0.998,,3,
15.0,47.4,-5.2513,1.0,,3,
16.0,47.4,-1.1616,0.999,,3,
17.0,47.8,-5.4088,0.999,,3,
18.0,48.8,-3.9752,0.998,,3,
,,,,,3,48.76
19.0,48.4,-4.4173,0.999,,3,
20.0,48.0,-4.0863,0.998,,3,
21.0,49.3,-2.8118,0.998,,3,
22.0,49.3,-1.7345,0.998,,3,
23.0,49.9,3.0432,0.994,,3,
24.0,50.4,-4.2182,0.996,,3,
,,,,,3,50.4
25.0,50.2,-6.6207,0.997,,3,
26.0,52.3,-5.3718,0.999,,3,
27.0,51.9,-4.2564,0.997,,3,
28.0,51.3,-8.0446,0.996,,3,
29.0,52.3,-5.5033,0.987,,3,
,,,,,3,52.32
0.0,41.6,-3.9585,1.0,True,4,
,,,,,4,41.63
1.0,43.1,-3.5159,1.0,,4,
2.0,43.2,-4.6359,1.0,,4,
3.0,43.5,-3.1756,1.0,,4,
4.0,43.6,-3.0343,1.0,,4,
5.0,43.9,-4.3928,1.0,,4,
6.0,43.6,-3.8191,1.0,,4,
,,,,,4,43.62
7.0,44.6,-3.5077,1.0,,4,
8.0,45.1,-2.2064,1.0,,4,
9.0,45.3,-4.1888,1.0,,4,
10.0,46.0,-6.0735,1.0,,4,
11.0,46.6,-6.0739,1.0,,4,
12.0,46.8,-5.8823,1.0,,4,
,,,,,4,46.75
13.0,46.9,-5.3743,1.0,,4,
14.0,46.7,-4.6075,1.0,,4,
15.0,48.0,-4.0,1.0,,4,
16.0,48.0,-4.3178,1.0,,4,
17.0,46.8,-5.045,1.0,,4,
18.0,46.0,-3.5459,1.0,,4,
,,,,,4,46.05
19.0,47.8,-4.6377,1.0,,4,
20.0,47.8,-4.3828,1.0,,4,
21.0,48.2,-4.0744,1.0,,4,
22.0,48.2,-3.2626,1.0,,4,
23.0,48.5,-6.5287,1.0,,4,
24.0,48.5,-3.1736,1.0,,4,
,,,,,4,48.51
25.0,48.5,-3.5127,1.0,,4,
26.0,48.3,-3.3766,1.0,,4,
27.0,47.8,-5.3937,1.0,,4,
28.0,48.2,-3.8578,1.0,,4,
29.0,47.7,-3.978,1.0,,4,
,,,,,4,47.67
0.0,37.5,-0.3846,0.499,,5,
,,,,,5,37.49
1.0,44.0,-1.5541,0.186,,5,
2.0,44.4,-3.0832,0.064,,5,
3.0,44.8,-4.043,0.049,,5,
4.0,44.8,-3.5499,0.042,,5,
5.0,45.5,-2.0103,0.043,,5,
6.0,45.1,-2.5814,0.052,,5,
,,,,,5,45.1
7.0,45.6,-4.0875,0.052,,5,
8.0,46.0,-1.9751,0.052,,5,
9.0,46.6,-4.8482,0.059,,5,
10.0,46.2,-4.5666,0.059,,5,
11.0,44.8,-3.0722,0.066,,5,
12.0,44.8,-4.9742,0.138,,5,
,,,,,5,44.76
13.0,45.9,-4.6085,0.143,,5,
14.0,46.5,-4.6366,0.117,,5,
15.0,46.6,-4.0206,0.112,,5,
16.0,46.8,-5.3667,0.109,,5,
17.0,47.2,-4.4432,0.098,,5,
,,,,,5,47.23
0.0,45.2,-3.4928,1.0,,6,
,,,,,6,45.24
1.0,50.5,-3.6873,1.0,,6,
2.0,51.3,-4.9604,1.0,,6,
3.0,51.7,-6.412,1.0,,6,
4.0,52.1,-7.865,1.0,,6,
5.0,53.0,-5.68,1.0,,6,
6.0,52.6,-6.0848,1.0,,6,
,,,,,6,52.61
7.0,52.5,-4.4209,1.0,,6,
8.0,52.7,-5.2752,1.0,,6,
9.0,52.9,-6.6896,1.0,,6,
10.0,52.7,-6.0163,1.0,,6,
11.0,52.9,-5.6633,1.0,,6,
12.0,52.7,-6.8934,1.0,,6,
,,,,,6,52.72
13.0,52.8,-6.0618,1.0,,6,
14.0,53.2,-7.0834,1.0,,6,
15.0,53.3,-7.3998,1.0,,6,
16.0,53.7,-5.4533,1.0,,6,
17.0,53.8,-6.7016,1.0,,6,
,,,,,6,53.78
0.0,49.6,-2.4871,0.998,,7,
,,,,,7,49.63
1.0,51.9,-6.4776,1.0,,7,
2.0,52.1,0.2409,1.0,,7,
3.0,52.1,-3.4844,1.0,,7,
4.0,52.5,-1.6646,1.0,,7,
5.0,53.1,-4.5563,1.0,,7,
6.0,52.7,-7.0275,1.0,,7,
,,,,,7,52.72
7.0,53.0,-2.6238,1.0,,7,
8.0,53.7,-1.1501,1.0,,7,
9.0,53.5,1.755,1.0,,7,
10.0,53.9,-5.6577,1.0,,7,
11.0,53.9,-3.1969,1.0,,7,
,,,,,7,53.94
0.0,44.1,-2.469,0.995,,8,
,,,,,8,44.12
1.0,44.9,-3.9001,1.0,,8,
2.0,45.0,-1.6593,1.0,,8,
3.0,45.1,-4.0271,1.0,,8,
4.0,45.2,-3.852,1.0,,8,
5.0,45.3,-3.2991,1.0,,8,
6.0,45.3,-4.8704,1.0,,8,
,,,,,8,45.33
7.0,45.1,-4.0056,1.0,,8,
8.0,44.9,-2.8965,1.0,,8,
9.0,45.4,-4.1225,1.0,,8,
10.0,45.4,-4.1147,1.0,,8,
11.0,47.6,-6.249,1.0,,8,
,,,,,8,47.57
0.0,46.8,-0.8792,0.994,,9,
,,,,,9,46.82
1.0,47.8,3.7952,0.988,,9,
2.0,48.5,9.974,1.0,,9,
3.0,48.7,3.5289,1.0,,9,
4.0,48.7,-4.6137,1.0,,9,
5.0,48.7,-0.4778,0.983,,9,
6.0,48.6,-2.6902,1.0,,9,
,,,,,9,48.6
7.0,48.8,-6.7938,1.0,,9,
8.0,48.9,-6.719,1.0,,9,
9.0,49.0,-4.0257,0.994,,9,
10.0,48.8,-4.2266,1.0,,9,
11.0,48.9,-2.8735,1.0,,9,
,,,,,9,48.88
0.0,54.2,-3.3606,0.633,,10,
,,,,,10,54.19
1.0,55.7,-5.4792,0.247,,10,
2.0,55.5,-5.9334,0.017,,10,
3.0,55.7,-5.7988,0.0,,10,
4.0,55.1,-6.0265,0.0,,10,
5.0,55.9,-5.7187,0.0,,10,
6.0,56.4,-5.8308,0.0,,10,
,,,,,10,56.37
7.0,55.9,-6.1393,0.0,,10,
8.0,56.3,-5.2797,0.0,,10,
9.0,56.8,-6.1792,0.0,,10,
10.0,56.9,-5.2952,0.0,,10,
11.0,57.0,-5.8723,0.0,,10,
,,,,,10,56.97
0.0,49.9,-5.0657,0.997,,11,
,,,,,11,49.94
1.0,54.2,-4.7588,0.998,,11,
2.0,54.9,-5.5798,0.995,,11,
3.0,55.1,-4.9269,0.992,,11,
4.0,55.7,-4.8048,0.991,,11,
5.0,55.7,-5.8077,0.995,,11,
6.0,55.7,-5.8063,0.995,,11,
,,,,,11,55.73
7.0,55.6,-5.3424,1.0,,11,
8.0,55.7,-3.9878,0.994,,11,
9.0,55.7,-7.0147,0.988,,11,
10.0,55.7,-6.3152,1.0,,11,
11.0,55.3,-5.4622,0.987,,11,
,,,,,11,55.28
0.0,44.2,-5.3239,0.896,,12,
,,,,,12,44.25
1.0,47.2,-4.2715,0.966,,12,
2.0,48.0,-6.2438,0.98,,12,
3.0,48.5,-3.988,0.977,,12,
4.0,48.6,-5.1648,0.986,,12,
5.0,48.8,-3.7844,0.975,,12,
6.0,48.7,-6.4173,0.944,,12,
,,,,,12,48.71
7.0,48.4,-5.4109,0.927,,12,
8.0,48.4,-4.7459,0.91,,12,
,,,,,12,48.44
0.0,41.2,-6.0402,0.942,,13,
,,,,,13,41.17
1.0,48.9,-6.0813,0.956,,13,
2.0,50.7,-3.9381,0.961,,13,
3.0,50.8,-3.3477,0.977,,13,
4.0,50.9,-4.0785,0.976,,13,
5.0,51.1,-9.1168,0.968,,13,
6.0,51.1,-4.1022,0.962,,13,
,,,,,13,51.11
7.0,50.9,-6.8409,0.953,,13,
,,,,,13,50.93
0.0,48.9,-4.3685,0.884,,14,
,,,,,14,48.94
1.0,49.3,-6.9016,0.885,,14,
2.0,49.5,-8.8915,0.89,,14,
3.0,49.6,-2.1775,0.896,,14,
4.0,49.9,-4.9006,0.851,,14,
5.0,50.1,-1.4685,0.83,,14,
6.0,50.4,-5.5717,0.846,,14,
,,,,,14,50.35
